,country,eastwest,eumember,year,expert,party_id,family,cmp_id,party,vote,seat,electionyear,epvote,govt,eu_position,eu_salience,eu_dissent,eu_blur,eu_benefit,eu_ep,eu_fiscal,eu_intmark,eu_employ,eu_budgets,eu_agri,eu_cohesion,eu_environ,eu_asylum,eu_foreign,eu_turkey,lrgen,lrecon,lrecon_salience,lrecon_dissent,lrecon_blur,galtan,galtan_salience,galtan_dissent,galtan_blur,spendvtax,spendvtax_salience,deregulation,dereg_salience,redistribution,redist_salience,econ_interven,civlib_laworder,civlib_salience,sociallifestyle,social_salience,religious_principles,relig_salience,immigrate_policy,immigrate_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,urban_rural,urban_salience,environment,enviro_salience,cosmo,cosmo_salience,protectionism,regions,region_salience,international_security,international_salience,us,us_salience,ethnic_minorities,ethnic_salience,nationalism,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,mip_one,mip_two,mip_three,chesversion
562,SN,0,1,2014,14,2904,ChristDem,97521.0,SLS,4.0,0.0,2014,8.3,0.0,6.07692289352417,6.7692308,2.4545455,,1.3846154,5.69999980926514,,5.54545450210571,,4.818182,,6.09999990463257,,,5.66666650772095,3.66666674613953,6.46153831481934,6.307692527771,5.7692308,,,7.07692289352417,5.5454545,,,6.09999990463257,,6.625,,5.69999980926514,,6.0,6.0,,7.25,,7.0,,6.44444465637207,,,7.125,,,8.22222232818604,,4.8000002,,,,,4.181818,,3.0,,,,5.625,,7.0,,,,5.0,6.875,,18.0,4.0,3.0,2020.1
563,SN,0,1,2019,15,2905,ChristDem,97522.0,NSI,7.16,8.0,2018,11.12,1.0,6.0,7.1999998,2.125,4.0,,,,6.26666688919067,,5.5,,6.0,,3.0,5.0,,7.5,7.35714292526245,7.3333335,1.8571428,2.5714285,8.0,7.8000002,3.25,2.2,7.46666669845581,,7.86666679382324,,6.07142877578735,6.42857122421265,7.0,7.307692527771,,8.0714282989502,,8.53333377838135,,8.19999980926514,7.66666650772095,2.2307692,8.0,7.0714288,1.7857143,7.13333320617676,,6.8571429,4.9333334,,,4.1333332,2.9230769,,,,,,6.5,,7.0,4.5454545,6.2307692,4.6923075,4.5999999,6.1333332,6.8666668,,,,2020.1
564,HR,0,1,2014,9,3101,ChristDem,81711.0,HDZ,21.9,27.200001,2011,27.6,0.0,6.22222232818604,7.6666665,1.5555556,,1.5555556,5.83333349227905,,6.125,,4.375,,6.875,,,6.125,3.79999995231628,7.33333349227905,5.33333349227905,6.625,,,8.25,8.2222223,,,6.55555534362793,,6.44444465637207,,5.5,,5.3333335,7.0,,8.11111068725586,,8.44444465637207,,7.14285707473755,,,7.8000002,,,6.57142877578735,,6.5555553,,,,,6.625,,2.125,,,,6.77777767181397,,8.1111107,,,,2.7777777,4.7777777,,12.0,13.0,15.0,2020.1
565,HR,0,1,2019,24,3101,ChristDem,81711.0,HDZ,34.59,41.5,2016,22.72,1.0,6.66666650772095,9.041667,3.125,1.9375,,,,5.91304349899292,,5.2173915,,6.63636350631714,,4.31818199157715,5.08695650100708,,6.875,4.83333349227905,7.4166665,4.0999999,4.3846154,7.125,7.5,6.6111112,4.8333335,5.1304349899292,,4.69565200805664,,4.54545450210571,5.90909099578857,4.0,6.5652174949646,,6.83333349227905,,7.54166650772095,,7.69565200805664,5.54166650772095,2.652174,7.7142859,4.0476189,3.45,6.04545450210571,,6.409091,3.0,,,5.5652175,7.0,,,,,,6.08333349227905,,7.5833335,1.9523809,1.5,1.8333334,1.125,3.25,8.375,,,,2020.1
566,LX,1,1,2014,3,3801,ChristDem,23520.0,CSV,33.7,38.299999,2013,37.7,0.0,7.0,8.0,2.3333333,,1.0,7.0,,6.0,,6.5,,6.0,,,6.5,3.0,6.5,4.5,7.5,,,6.0,3.0,,,4.5,,6.0,,4.5,,6.0,5.0,,5.5,,7.5,,7.5,,,7.0,,,7.0,,5.5,,,,,5.0,,1.5,,,,7.0,,5.5,,,,2.5,2.5,,,,,2020.1
567,LX,1,1,2019,2,3801,ChristDem,23520.0,CSV,27.08,35.0,2018,21.1,0.0,6.5,6.5,2.0,1.0,,,,7.0,,4.0,,6.0,,6.0,6.0,,6.0,5.5,4.5,3.0,3.0,6.0,5.0,4.0,7.0,3.0,,4.5,,3.5,7.0,5.0,5.5,,3.5,,5.5,,4.0,5.0,4.0,6.0,4.5,4.0,5.0,,5.0,4.0,,,3.5,5.0,,,,,,6.0,,5.0,0.0,0.0,3.5,0.5,3.0,7.0,,,,2020.1
568,BE,1,1,1999,9,103,SocDem,21321.0,SP,9.6,9.3000002,1999,8.84000015258789,1.0,6.66666650772095,4.7222223,1.111111,,,6.33333349227905,6.66666650772095,,6.55555534362793,,,6.25,6.0,5.66666650772095,6.55555534362793,,3.33333325386047,3.125,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
569,BE,1,1,1999,9,102,SocDem,21322.0,PS,10.2,12.7,1999,9.59000015258789,1.0,6.66666650772095,4.7222223,1.388889,,,6.33333349227905,6.66666650772095,,6.55555534362793,,,6.625,5.88888883590698,5.66666650772095,6.55555534362793,,3.11111116409302,2.625,,,,3.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
570,BE,1,1,2002,11,102,SocDem,21322.0,PS,10.2,12.7,1999,9.59000015258789,1.0,6.09,4.5333328,2.1111112,,,6.0,,4.1,6.55,,4.88,5.85,5.0,6.3,6.33,,3.35,2.5,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
571,BE,1,1,2002,11,103,SocDem,21321.0,SP,9.6,9.3000002,1999,8.84000015258789,1.0,5.45,5.4666672,4.0444441,,,6.0,,4.0,6.56,,3.78,5.43,5.56,6.45,6.55,,3.5,3.0,,,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
